chr	start	end	JC2140_neg	JC2307_neg	JC2307_pos	GC
NC_003062_3_fused	500001	505000	2336	3038	2653	0.595
NC_003062_3_fused	505001	510000	2320	2952	2612	0.597
NC_003062_3_fused	510001	515000	2453	2926	2616	0.597
NC_003062_3_fused	515001	520000	2239	2907	2750	0.608
NC_003062_3_fused	520001	525000	2218	2965	2820	0.599
NC_003062_3_fused	525001	530000	2202	3000	2874	0.602
NC_003062_3_fused	530001	535000	2182	3009	2813	0.609
NC_003062_3_fused	535001	540000	2205	3153	2941	0.605
NC_003062_3_fused	540001	545000	2153	3119	2899	0.620
NC_003062_3_fused	545001	550000	2090	2970	2877	0.595
NC_003062_3_fused	550001	555000	2242	2935	2742	0.603
NC_003062_3_fused	555001	560000	2361	2986	2579	0.593
NC_003062_3_fused	560001	565000	2621	3091	2581	0.582
NC_003062_3_fused	565001	570000	2548	3071	2635	0.597
NC_003062_3_fused	570001	575000	2524	3059	2866	0.605
NC_003062_3_fused	575001	580000	2459	2934	2721	0.594
NC_003062_3_fused	580001	585000	2342	2989	2697	0.596
NC_003062_3_fused	585001	590000	2389	3022	2682	0.588
NC_003062_3_fused	590001	595000	2580	3246	3076	0.617
NC_003062_3_fused	595001	600000	2626	3195	2974	0.607
NC_003062_3_fused	600001	605000	2539	3138	2812	0.607
NC_003062_3_fused	605001	610000	2567	3077	2769	0.606
NC_003062_3_fused	610001	615000	2491	3182	2772	0.559
NC_003062_3_fused	615001	620000	2396	3101	2817	0.573
NC_003062_3_fused	620001	625000	2398	2928	2864	0.590
NC_003062_3_fused	625001	630000	2250	2945	2885	0.594
NC_003062_3_fused	630001	635000	2134	2981	2879	0.580
NC_003062_3_fused	635001	640000	2248	3134	2717	0.609
NC_003062_3_fused	640001	645000	2268	3124	2763	0.598
NC_003062_3_fused	645001	650000	2444	3330	2730	0.608
NC_003062_3_fused	650001	655000	2354	3277	2783	0.589
NC_003062_3_fused	655001	660000	2360	3176	2832	0.612
NC_003062_3_fused	660001	665000	2346	3215	2853	0.596
NC_003062_3_fused	665001	670000	2447	3002	2982	0.603
NC_003062_3_fused	670001	675000	2528	3059	2945	0.598
NC_003062_3_fused	675001	680000	2502	2953	2847	0.605
NC_003062_3_fused	680001	685000	2535	2935	2862	0.600
NC_003062_3_fused	685001	690000	2531	3167	2849	0.600
NC_003062_3_fused	690001	695000	2313	3397	2882	0.602
NC_003062_3_fused	695001	700000	2282	3192	2882	0.592
NC_003062_3_fused	700001	705000	2262	3161	2922	0.547
NC_003062_3_fused	705001	710000	2217	3178	3022	0.570
NC_003062_3_fused	710001	715000	2417	3296	2912	0.532
NC_003062_3_fused	715001	720000	2357	3284	2903	0.544
NC_003062_3_fused	720001	725000	2391	3270	2868	0.525
NC_003062_3_fused	725001	730000	2363	3112	2960	0.585
NC_003062_3_fused	730001	735000	2165	2867	3036	0.591
NC_003062_3_fused	735001	740000	2038	2721	2810	0.597
NC_003062_3_fused	740001	745000	2140	2730	2710	0.600
NC_003062_3_fused	745001	750000	2224	2888	2672	0.607
NC_003062_3_fused	750001	755000	2355	3145	2671	0.557
NC_003062_3_fused	755001	760000	2328	3372	2794	0.603
NC_003062_3_fused	760001	765000	2343	3287	2756	0.599
NC_003062_3_fused	765001	770000	2412	3129	2904	0.590
NC_003062_3_fused	770001	775000	2373	3053	2812	0.592
NC_003062_3_fused	775001	780000	2416	3025	2822	0.601
NC_003062_3_fused	780001	785000	2398	3129	2918	0.592
NC_003062_3_fused	785001	790000	2417	3109	2906	0.602
NC_003062_3_fused	790001	795000	2218	3058	2660	0.624
NC_003062_3_fused	795001	800000	2188	3011	2667	0.588
NC_003062_3_fused	800001	805000	2223	3131	2657	0.614
NC_003062_3_fused	805001	810000	2389	3104	2806	0.611
NC_003062_3_fused	810001	815000	2425	3043	2823	0.611
NC_003062_3_fused	815001	820000	2483	3061	2615	0.597
NC_003062_3_fused	820001	825000	2448	3020	2570	0.602
NC_003062_3_fused	825001	830000	2505	3047	2602	0.600
NC_003062_3_fused	830001	835000	2485	2959	2894	0.574
NC_003062_3_fused	835001	840000	2457	3188	3170	0.584
NC_003062_3_fused	840001	845000	2428	3239	3226	0.572
NC_003062_3_fused	845001	850000	2607	3290	3126	0.573
NC_003062_3_fused	850001	855000	2856	3360	2966	0.579
NC_003062_3_fused	855001	860000	2734	3180	3044	0.591
NC_003062_3_fused	860001	865000	2663	3102	3033	0.582
NC_003062_3_fused	865001	870000	2524	3019	2913	0.571
NC_003062_3_fused	870001	875000	2467	3021	2737	0.569
NC_003062_3_fused	875001	880000	2549	3119	2807	0.573
NC_003062_3_fused	880001	885000	2503	3290	2977	0.560
NC_003062_3_fused	885001	890000	2413	3000	2846	0.571
NC_003062_3_fused	890001	895000	2329	2997	2750	0.591
NC_003062_3_fused	895001	900000	2316	3215	2848	0.607
NC_003062_3_fused	900001	905000	2353	3364	2951	0.595
NC_003062_3_fused	905001	910000	2392	3303	3062	0.610
NC_003062_3_fused	910001	915000	2392	3152	2861	0.595
NC_003062_3_fused	915001	920000	2417	3062	2800	0.598
NC_003062_3_fused	920001	925000	2593	3137	2849	0.597
NC_003062_3_fused	925001	930000	2659	3331	2907	0.585
NC_003062_3_fused	930001	935000	2497	3314	2796	0.617
NC_003062_3_fused	935001	940000	2339	3087	2652	0.583
NC_003062_3_fused	940001	945000	2393	3145	2590	0.601
NC_003062_3_fused	945001	950000	2368	3377	2679	0.609
NC_003062_3_fused	950001	955000	2398	3304	2658	0.596
NC_003062_3_fused	955001	960000	2458	3316	2605	0.585
NC_003062_3_fused	960001	965000	2397	3334	2615	0.611
NC_003062_3_fused	965001	970000	2474	3399	2964	0.580
NC_003062_3_fused	970001	975000	2535	3359	3164	0.598
NC_003062_3_fused	975001	980000	2717	3393	3066	0.600
NC_003062_3_fused	980001	985000	2841	3448	2861	0.602
NC_003062_3_fused	985001	990000	2599	3270	2870	0.585
NC_003062_3_fused	990001	995000	2511	3158	2908	0.607
NC_003062_3_fused	995001	1000000	2579	3069	2976	0.621
NC_003062_3_fused	1000001	1005000	2465	2920	2874	0.570
NC_003062_3_fused	1005001	1010000	2289	2884	2752	0.588
NC_003062_3_fused	1010001	1015000	2275	2935	2710	0.607
NC_003062_3_fused	1015001	1020000	2350	2974	2823	0.586
NC_003062_3_fused	1020001	1025000	2384	3019	2938	0.601
NC_003062_3_fused	1025001	1030000	2659	3154	2961	0.612
NC_003062_3_fused	1030001	1035000	2643	3143	2763	0.594
NC_003062_3_fused	1035001	1040000	2302	2987	2738	0.582
NC_003062_3_fused	1040001	1045000	2310	2959	2678	0.585
NC_003062_3_fused	1045001	1050000	2387	2981	2804	0.600
NC_003062_3_fused	1050001	1055000	2394	3108	2896	0.580
NC_003062_3_fused	1055001	1060000	2446	3191	2953	0.592
NC_003062_3_fused	1060001	1065000	2461	3016	2930	0.587
NC_003062_3_fused	1065001	1070000	2585	2947	2933	0.593
NC_003062_3_fused	1070001	1075000	2421	2942	2931	0.564
NC_003062_3_fused	1075001	1080000	2417	3108	2862	0.578
NC_003062_3_fused	1080001	1085000	2583	3082	2878	0.588
NC_003062_3_fused	1085001	1090000	2498	3088	2959	0.593
NC_003062_3_fused	1090001	1095000	2397	2947	2918	0.591
NC_003062_3_fused	1095001	1100000	2399	2948	2970	0.590
NC_003062_3_fused	1100001	1105000	2325	2864	2990	0.586
NC_003062_3_fused	1105001	1110000	2174	2860	2860	0.582
NC_003062_3_fused	1110001	1115000	2418	3063	2830	0.600
NC_003062_3_fused	1115001	1120000	2653	3065	2888	0.611
NC_003062_3_fused	1120001	1125000	2744	3020	2774	0.608
NC_003062_3_fused	1125001	1130000	2617	3150	2723	0.608
NC_003062_3_fused	1130001	1135000	2678	3084	2840	0.581
NC_003062_3_fused	1135001	1140000	2644	2953	2945	0.600
NC_003062_3_fused	1140001	1145000	2632	3025	2957	0.589
NC_003062_3_fused	1145001	1150000	2419	3027	2816	0.591
NC_003062_3_fused	1150001	1155000	2368	2982	2610	0.595
NC_003062_3_fused	1155001	1160000	2355	2926	2525	0.628
NC_003062_3_fused	1160001	1165000	2427	2973	2618	0.632
NC_003062_3_fused	1165001	1170000	2495	2951	2540	0.596
NC_003062_3_fused	1170001	1175000	2593	2997	2479	0.608
NC_003062_3_fused	1175001	1180000	2725	2904	2548	0.591
NC_003062_3_fused	1180001	1185000	2617	2893	2660	0.573
NC_003062_3_fused	1185001	1190000	2591	3099	2652	0.587
NC_003062_3_fused	1190001	1195000	2680	3150	2724	0.580
NC_003062_3_fused	1195001	1200000	2663	3040	2889	0.585
NC_003062_3_fused	1200001	1205000	2626	2946	2834	0.587
NC_003062_3_fused	1205001	1210000	2607	3036	2728	0.597
NC_003062_3_fused	1210001	1215000	2639	3013	2875	0.584
NC_003062_3_fused	1215001	1220000	2715	3220	3176	0.594
NC_003062_3_fused	1220001	1225000	2803	3263	3151	0.597
NC_003062_3_fused	1225001	1230000	2665	3184	3020	0.581
NC_003062_3_fused	1230001	1235000	2517	3152	2970	0.599
NC_003062_3_fused	1235001	1240000	2520	3080	2911	0.618
NC_003062_3_fused	1240001	1245000	2376	3046	2876	0.603
NC_003062_3_fused	1245001	1250000	2334	3066	2888	0.586
NC_003062_3_fused	1250001	1255000	2470	3314	2936	0.606
NC_003062_3_fused	1255001	1260000	2621	3108	2896	0.573
NC_003062_3_fused	1260001	1265000	2582	2790	2986	0.566
NC_003062_3_fused	1265001	1270000	2610	2833	3032	0.598
NC_003062_3_fused	1270001	1275000	2713	2951	2801	0.594
NC_003062_3_fused	1275001	1280000	2799	2938	2659	0.603
NC_003062_3_fused	1280001	1285000	2589	2868	2743	0.598
NC_003062_3_fused	1285001	1290000	2559	3102	2859	0.604
NC_003062_3_fused	1290001	1295000	2552	3213	2875	0.610
NC_003062_3_fused	1295001	1300000	2597	3231	2866	0.610
NC_003062_3_fused	1300001	1305000	2456	3154	2692	0.604
NC_003062_3_fused	1305001	1310000	2443	3027	2626	0.614
NC_003062_3_fused	1310001	1315000	2563	3033	2873	0.612
NC_003062_3_fused	1315001	1320000	2663	3118	2870	0.594
NC_003062_3_fused	1320001	1325000	2761	3166	2939	0.625
NC_003062_3_fused	1325001	1330000	2751	3002	2937	0.579
NC_003062_3_fused	1330001	1335000	2427	2993	2820	0.598
NC_003062_3_fused	1335001	1340000	2308	2770	2588	0.576
NC_003062_3_fused	1340001	1345000	2246	2775	2530	0.616
NC_003062_3_fused	1345001	1350000	2283	2800	2540	0.611
NC_003062_3_fused	1350001	1355000	2542	2984	2644	0.606
NC_003062_3_fused	1355001	1360000	2438	2963	2669	0.600
NC_003062_3_fused	1360001	1365000	2340	2752	2682	0.628
NC_003062_3_fused	1365001	1370000	2288	2719	2682	0.620
NC_003062_3_fused	1370001	1375000	2405	3028	2703	0.609
NC_003062_3_fused	1375001	1380000	2590	2984	2750	0.589
NC_003062_3_fused	1380001	1385000	2555	2929	2665	0.616
NC_003062_3_fused	1385001	1390000	2434	2725	2528	0.599
NC_003062_3_fused	1390001	1395000	2419	2694	2507	0.587
NC_003062_3_fused	1395001	1400000	2433	2696	2744	0.600
NC_003062_3_fused	1400001	1405000	2544	2731	2884	0.573
NC_003062_3_fused	1405001	1410000	2691	3104	2919	0.591
NC_003062_3_fused	1410001	1415000	2669	3030	2944	0.614
NC_003062_3_fused	1415001	1420000	2444	2844	2826	0.604
NC_003062_3_fused	1420001	1425000	2380	2848	2785	0.593
NC_003062_3_fused	1425001	1430000	2437	2963	2795	0.545
NC_003062_3_fused	1430001	1435000	2483	2920	2847	0.596
NC_003062_3_fused	1435001	1440000	2594	2810	2752	0.602
NC_003062_3_fused	1440001	1445000	2658	2792	2798	0.595
NC_003062_3_fused	1445001	1450000	2787	2815	2849	0.530
NC_003062_3_fused	1450001	1455000	2794	2883	2957	0.557
NC_003062_3_fused	1455001	1460000	2473	2970	2935	0.588
NC_003062_3_fused	1460001	1465000	2457	2903	2947	0.576
NC_003062_3_fused	1465001	1470000	2615	2878	2871	0.601
NC_003062_3_fused	1470001	1475000	2492	2857	2804	0.605
NC_003062_3_fused	1475001	1480000	2409	2707	2680	0.596
NC_003062_3_fused	1480001	1485000	2392	2709	2658	0.581
NC_003062_3_fused	1485001	1490000	2419	2784	2540	0.557
NC_003062_3_fused	1490001	1495000	2602	2982	2533	0.588
NC_003062_3_fused	1495001	1500000	2512	2794	2621	0.587
NC_003062_3_fused	1500001	1505000	2490	2788	2897	0.608
NC_003062_3_fused	1505001	1510000	2603	2823	2994	0.602
NC_003062_3_fused	1510001	1515000	2618	2824	2702	0.575
NC_003062_3_fused	1515001	1520000	2685	2971	2506	0.581
NC_003062_3_fused	1520001	1525000	2530	2773	2461	0.604
NC_003062_3_fused	1525001	1530000	2337	2588	2516	0.583
NC_003062_3_fused	1530001	1535000	2324	2617	2553	0.593
NC_003062_3_fused	1535001	1540000	2381	2913	2548	0.582
NC_003062_3_fused	1540001	1545000	2530	3111	2769	0.608
NC_003062_3_fused	1545001	1550000	2478	3209	2978	0.590
NC_003062_3_fused	1550001	1555000	2534	3156	2971	0.601
NC_003062_3_fused	1555001	1560000	2478	3009	2814	0.591
NC_003062_3_fused	1560001	1565000	2432	2885	2735	0.583
NC_003062_3_fused	1565001	1570000	2420	2862	2470	0.616
NC_003062_3_fused	1570001	1575000	2653	2883	2459	0.619
NC_003062_3_fused	1575001	1580000	2409	3004	2507	0.569
NC_003062_3_fused	1580001	1585000	2293	3005	2862	0.586
NC_003062_3_fused	1585001	1590000	2305	2998	2764	0.594
NC_003062_3_fused	1590001	1595000	2368	2790	2575	0.576
NC_003062_3_fused	1595001	1600000	2450	2737	2596	0.598
NC_003062_3_fused	1600001	1605000	2696	2840	2698	0.587
NC_003062_3_fused	1605001	1610000	2732	3005	2779	0.591
NC_003062_3_fused	1610001	1615000	2694	3205	2812	0.609
NC_003062_3_fused	1615001	1620000	2654	3156	2812	0.596
NC_003062_3_fused	1620001	1625000	2460	3138	2777	0.549
NC_003062_3_fused	1625001	1630000	2541	2966	2821	0.585
NC_003062_3_fused	1630001	1635000	2535	2990	2829	0.593
NC_003062_3_fused	1635001	1640000	2479	2985	2797	0.594
NC_003062_3_fused	1640001	1645000	2537	3099	2867	0.601
NC_003062_3_fused	1645001	1650000	2645	3000	2731	0.588
NC_003062_3_fused	1650001	1655000	2696	3137	2749	0.607
NC_003062_3_fused	1655001	1660000	2648	3112	2777	0.598
NC_003062_3_fused	1660001	1665000	2602	3003	2876	0.599
NC_003062_3_fused	1665001	1670000	2606	3069	3005	0.604
NC_003062_3_fused	1670001	1675000	2534	3247	2992	0.577
NC_003062_3_fused	1675001	1680000	2577	3416	2957	0.588
NC_003062_3_fused	1680001	1685000	2479	3258	2770	0.603
NC_003062_3_fused	1685001	1690000	2535	3178	2691	0.592
NC_003062_3_fused	1690001	1695000	2585	3101	2493	0.602
NC_003062_3_fused	1695001	1700000	2498	2958	2479	0.555
NC_003062_3_fused	1700001	1705000	2530	2955	2717	0.598
NC_003062_3_fused	1705001	1710000	2501	2880	2782	0.571
NC_003062_3_fused	1710001	1715000	2501	2804	2722	0.599
NC_003062_3_fused	1715001	1720000	2546	2778	2585	0.598
NC_003062_3_fused	1720001	1725000	2383	2708	2566	0.573
NC_003062_3_fused	1725001	1730000	2364	2947	2582	0.610
NC_003062_3_fused	1730001	1735000	2363	2872	2850	0.623
NC_003062_3_fused	1735001	1740000	2285	2934	2902	0.626
NC_003062_3_fused	1740001	1745000	2282	2930	2850	0.611
NC_003062_3_fused	1745001	1750000	2449	2946	2811	0.601
NC_003062_3_fused	1750001	1755000	2413	2919	2703	0.594
NC_003062_3_fused	1755001	1760000	2406	2935	2541	0.581
NC_003062_3_fused	1760001	1765000	2315	2994	2609	0.579
NC_003062_3_fused	1765001	1770000	2331	2849	2579	0.533
NC_003062_3_fused	1770001	1775000	2500	2792	2499	0.550
NC_003062_3_fused	1775001	1780000	2571	2787	2534	0.574
NC_003062_3_fused	1780001	1785000	2512	2898	2668	0.594
NC_003062_3_fused	1785001	1790000	2432	2804	2847	0.581
NC_003062_3_fused	1790001	1795000	2385	2678	2732	0.589
NC_003062_3_fused	1795001	1800000	2398	2680	2660	0.625
NC_003062_3_fused	1800001	1805000	2553	2683	2679	0.599
NC_003062_3_fused	1805001	1810000	2511	2766	2714	0.581
NC_003062_3_fused	1810001	1815000	2546	2925	2727	0.583
NC_003062_3_fused	1815001	1820000	2568	2860	2585	0.594
NC_003062_3_fused	1820001	1825000	2338	2757	2387	0.578
NC_003062_3_fused	1825001	1830000	2352	2798	2348	0.605
NC_003062_3_fused	1830001	1835000	2316	2732	2441	0.527
NC_003062_3_fused	1835001	1840000	2360	2761	2491	0.560
NC_003062_3_fused	1840001	1845000	2461	2965	2706	0.575
NC_003062_3_fused	1845001	1850000	2492	2968	2785	0.566
NC_003062_3_fused	1850001	1855000	2540	2883	2772	0.601
NC_003062_3_fused	1855001	1860000	2564	2835	2856	0.595
NC_003062_3_fused	1860001	1865000	2680	2876	2954	0.604
NC_003062_3_fused	1865001	1870000	2418	2867	2915	0.609
NC_003062_3_fused	1870001	1875000	2433	2713	2717	0.607
NC_003062_3_fused	1875001	1880000	2326	2617	2662	0.582
NC_003062_3_fused	1880001	1885000	2201	2515	2581	0.580
NC_003062_3_fused	1885001	1890000	2203	2462	2552	0.587
NC_003062_3_fused	1890001	1895000	2253	2642	2494	0.581
NC_003062_3_fused	1895001	1900000	2473	2772	2787	0.601
NC_003062_3_fused	1900001	1905000	2601	3007	2969	0.572
NC_003062_3_fused	1905001	1910000	2499	3021	2797	0.592
NC_003062_3_fused	1910001	1915000	2477	3040	2695	0.604
NC_003062_3_fused	1915001	1920000	2525	3371	2698	0.588
NC_003062_3_fused	1920001	1925000	2659	3230	2786	0.590
NC_003062_3_fused	1925001	1930000	2654	2808	2936	0.613
NC_003062_3_fused	1930001	1935000	2443	2808	2775	0.571
NC_003062_3_fused	1935001	1940000	2377	2764	2739	0.584
NC_003062_3_fused	1940001	1945000	2335	2999	2709	0.604
NC_003062_3_fused	1945001	1950000	2360	2869	2644	0.583
NC_003062_3_fused	1950001	1955000	2416	2879	2622	0.598
NC_003062_3_fused	1955001	1960000	2417	3019	2673	0.610
NC_003062_3_fused	1960001	1965000	2430	2949	2660	0.599
NC_003062_3_fused	1965001	1970000	2560	3043	2701	0.586
NC_003062_3_fused	1970001	1975000	2583	3106	2838	0.602
NC_003062_3_fused	1975001	1980000	2573	2986	3025	0.595
NC_003062_3_fused	1980001	1985000	2583	3058	2933	0.563
NC_003062_3_fused	1985001	1990000	2565	3026	2864	0.575
NC_003062_3_fused	1990001	1995000	2634	3033	3001	0.591
NC_003062_3_fused	1995001	2000000	2627	3020	2869	0.573
NC_003062_3_fused	2000001	2005000	2629	2878	2641	0.545
NC_003062_3_fused	2005001	2010000	2585	2878	2480	0.592
NC_003062_3_fused	2010001	2015000	2542	2966	2566	0.590
NC_003062_3_fused	2015001	2020000	2401	2840	2829	0.596
NC_003062_3_fused	2020001	2025000	2483	2909	2756	0.580
NC_003062_3_fused	2025001	2030000	2556	3006	2710	0.573
NC_003062_3_fused	2030001	2035000	2490	3000	2596	0.599
NC_003062_3_fused	2035001	2040000	2479	2933	2610	0.593
NC_003062_3_fused	2040001	2045000	2667	2940	2722	0.606
NC_003062_3_fused	2045001	2050000	2745	3049	2863	0.574
NC_003062_3_fused	2050001	2055000	2746	2948	2751	0.601
NC_003062_3_fused	2055001	2060000	2492	2853	2671	0.589
NC_003062_3_fused	2060001	2065000	2398	2919	2660	0.587
NC_003062_3_fused	2065001	2070000	2360	2902	2717	0.594
NC_003062_3_fused	2070001	2075000	2415	3115	2951	0.574
NC_003062_3_fused	2075001	2080000	2635	2981	2725	0.609
NC_003062_3_fused	2080001	2085000	2456	2906	2619	0.595
NC_003062_3_fused	2085001	2090000	2458	2807	2798	0.590
NC_003062_3_fused	2090001	2095000	2410	2836	2744	0.582
NC_003062_3_fused	2095001	2100000	2283	3098	2663	0.580
NC_003062_3_fused	2100001	2105000	2260	3109	2614	0.574
NC_003062_3_fused	2105001	2110000	2487	2917	2739	0.602
NC_003062_3_fused	2110001	2115000	2577	2941	2671	0.602
NC_003062_3_fused	2115001	2120000	2491	3051	2687	0.602
NC_003062_3_fused	2120001	2125000	2260	3065	2675	0.597
NC_003062_3_fused	2125001	2130000	2270	3027	2722	0.588
NC_003062_3_fused	2130001	2135000	2359	3077	2801	0.591
NC_003062_3_fused	2135001	2140000	2402	3204	2770	0.617
NC_003062_3_fused	2140001	2145000	2381	2970	2693	0.594
NC_003062_3_fused	2145001	2150000	2341	2898	2710	0.583
NC_003062_3_fused	2150001	2155000	2264	3144	2590	0.594
NC_003062_3_fused	2155001	2160000	2192	3221	2635	0.599
NC_003062_3_fused	2160001	2165000	2233	3205	2771	0.589
NC_003062_3_fused	2165001	2170000	2566	3165	2649	0.593
NC_003062_3_fused	2170001	2175000	2528	3245	2756	0.593
NC_003062_3_fused	2175001	2180000	2726	3360	2862	0.596
NC_003062_3_fused	2180001	2185000	2528	3144	2723	0.576
NC_003062_3_fused	2185001	2190000	2457	2906	2657	0.591
NC_003062_3_fused	2190001	2195000	2415	2724	2581	0.589
NC_003062_3_fused	2195001	2200000	2299	2713	2699	0.603
NC_003062_3_fused	2200001	2205000	2428	2754	2819	0.587
NC_003062_3_fused	2205001	2210000	2502	3088	2699	0.527
NC_003062_3_fused	2210001	2215000	2588	2970	2498	0.586
NC_003062_3_fused	2215001	2220000	2534	2963	2566	0.595
NC_003062_3_fused	2220001	2225000	2494	2960	2759	0.597
NC_003062_3_fused	2225001	2230000	2413	2901	2774	0.582
NC_003062_3_fused	2230001	2235000	2460	2787	2639	0.547
NC_003062_3_fused	2235001	2240000	2514	2738	2483	0.569
